"ensembl_gene_id","logFC","P.Value","adj.P.Val","comparison"
"ENSMUSG00000025465",-0.18657223147969,0.00147076540526454,0.0312697514423635,"4h_vs_0h"
"ENSMUSG00000007739",0.317899169569699,0.00148257765046545,0.0313693473062426,"4h_vs_0h"
"ENSMUSG00000019432",-0.204158011343448,0.00149855257051759,0.0314007710751698,"4h_vs_0h"
"ENSMUSG00000045482",-0.261460786207348,0.00151209512017999,0.0314007710751698,"4h_vs_0h"
"ENSMUSG00000022983",-0.436252125313782,0.00151478186367919,0.0314007710751698,"4h_vs_0h"
"ENSMUSG00000032540",-0.243010876406071,0.00152361480080901,0.0314007710751698,"4h_vs_0h"
"ENSMUSG00000073702",0.310327532491531,0.00152741583998357,0.0314007710751698,"4h_vs_0h"
"ENSMUSG00000032458",0.343100253622953,0.0015337699974008,0.0314007710751698,"4h_vs_0h"
"ENSMUSG00000032643",2.78931610037947,0.00153400722135004,0.0314007710751698,"4h_vs_0h"
"ENSMUSG00000012535",3.25101109342627,0.00157524228896906,0.0318730062135919,"4h_vs_0h"
"ENSMUSG00000056201",0.291342533523331,0.00157532501397368,0.0318730062135919,"4h_vs_0h"
"ENSMUSG00000025792",-0.250780899950797,0.00157880376154579,0.0318730062135919,"4h_vs_0h"
"ENSMUSG00000026662",0.31133113704626,0.00159587023430959,0.0320029147295915,"4h_vs_0h"
"ENSMUSG00000056076",0.318251628794773,0.00160314885007397,0.0320029147295915,"4h_vs_0h"
"ENSMUSG00000032562",-0.271275013181381,0.00161695834975605,0.0320029147295915,"4h_vs_0h"
"ENSMUSG00000033105",-0.239092565439627,0.00161954367790418,0.0320029147295915,"4h_vs_0h"
"ENSMUSG00000005469",0.393014903986639,0.00162932836583564,0.0320029147295915,"4h_vs_0h"
"ENSMUSG00000019303",2.64496754410849,0.00162996137729164,0.0320029147295915,"4h_vs_0h"
"ENSMUSG00000029250",-0.195258861370711,0.00163614083484619,0.0320029147295915,"4h_vs_0h"
"ENSMUSG00000025364",0.323079103033734,0.00167193707365253,0.0325583852263044,"4h_vs_0h"
"ENSMUSG00000024012",-0.289384733155323,0.00170205813496364,0.0329989332686122,"4h_vs_0h"
"ENSMUSG00000016319",-0.229340058003928,0.00174618632922145,0.0337059913811561,"4h_vs_0h"
"ENSMUSG00000028081",0.168296829214096,0.00175905361738528,0.0338060915725442,"4h_vs_0h"
"ENSMUSG00000028779",-0.386871385206433,0.00179817388038448,0.0344076662937917,"4h_vs_0h"
"ENSMUSG00000017686",-0.241807458193055,0.0018126294855535,0.0345341227961946,"4h_vs_0h"
"ENSMUSG00000018585",0.41778349156289,0.00183429400199292,0.0347962409602191,"4h_vs_0h"
"ENSMUSG00000022403",0.286595093153871,0.00184680762363443,0.034883263311653,"4h_vs_0h"
"ENSMUSG00000022889",-0.204531372447224,0.00188304307644691,0.0354156947839439,"4h_vs_0h"
"ENSMUSG00000048007",-0.222430608940577,0.00189966627248552,0.0355763032562076,"4h_vs_0h"
"ENSMUSG00000047213",0.269688450726267,0.00195021914081679,0.0363682815200623,"4h_vs_0h"
"ENSMUSG00000027068",-2.24386707449784,0.00196125713374085,0.0364198001923775,"4h_vs_0h"
"ENSMUSG00000051483",0.361445324171985,0.00199165378754264,0.0368288584830889,"4h_vs_0h"
"ENSMUSG00000024975",2.60153819634735,0.00204169952835397,0.037596316419606,"4h_vs_0h"
"ENSMUSG00000026150",3.71657975985246,0.00206051922391413,0.0377847712685254,"4h_vs_0h"
"ENSMUSG00000061838",-0.117220907204178,0.00214426938704859,0.0391573841178458,"4h_vs_0h"
"ENSMUSG00000025487",0.31981470840843,0.0021751867479579,0.0394517323244371,"4h_vs_0h"
"ENSMUSG00000003528",-0.210381615135994,0.00217831650871125,0.0394517323244371,"4h_vs_0h"
"ENSMUSG00000024646",-0.207619892189953,0.00219059299964061,0.0395114745549932,"4h_vs_0h"
"ENSMUSG00000021238",-0.213421718641776,0.00226116066869343,0.0403788876118169,"4h_vs_0h"
"ENSMUSG00000056999",0.311596735437316,0.00226186964572797,0.0403788876118169,"4h_vs_0h"
"ENSMUSG00000028757",-0.237677718406001,0.00226620887073819,0.0403788876118169,"4h_vs_0h"
"ENSMUSG00000021024",0.484078178151126,0.0022791130090192,0.0404450659382802,"4h_vs_0h"
"ENSMUSG00000004897",0.630532984176281,0.00230730195997129,0.040678229355124,"4h_vs_0h"
"ENSMUSG00000022437",-0.226241731914996,0.00231073786384481,0.040678229355124,"4h_vs_0h"
"ENSMUSG00000116933",-0.301730378418139,0.00238027012253718,0.041487150414344,"4h_vs_0h"
"ENSMUSG00000021474",-0.2595958320486,0.00238493393548973,0.041487150414344,"4h_vs_0h"
"ENSMUSG00000020153",-0.298530372644812,0.0023849691103906,0.041487150414344,"4h_vs_0h"
"ENSMUSG00000058325",2.21304031637582,0.00240092585746902,0.0416002940894534,"4h_vs_0h"
"ENSMUSG00000032604",0.302179817070044,0.00245017163279779,0.0422870798272277,"4h_vs_0h"
